controller,cell,time_s,pack_current_A,balancing_current_A,cell_current_A,voltage_V,soc,positive_gradient_mol_m3,total_overpotential_V
Electrochemical,Cell 1,2430.0,1.25,0.25,1.5,3.7540687458035014,0.5606944444444409,2038.341606005006,-0.02944411023477065
Electrochemical,Cell 2,2430.0,1.25,0.0,1.25,3.7455192403235382,0.5438718820861697,1735.4721222005937,-0.030102582129836998
Electrochemical,Cell 3,2430.0,1.25,-0.25,1.0,3.7531675444667627,0.5308747044917284,610.4720873419626,-0.040133127666940924
Electrochemical,Cell 4,2430.0,1.25,0.0,1.25,3.748477790550762,0.5594612794612828,2557.602349101362,-0.020896179910213288
Electrochemical,Cell 1,2440.0,1.25,0.25,1.5,3.7521367371402747,0.5598611111111076,2088.619242732583,-0.028286259957517046
Electrochemical,Cell 2,2440.0,1.25,0.0,1.25,3.7448279527275536,0.5431632653061244,1740.0755876750118,-0.030102026877153933
Electrochemical,Cell 3,2440.0,1.25,-0.25,1.0,3.7526351708711694,0.530283687943265,615.0753305070866,-0.04013479301580164
Electrochemical,Cell 4,2440.0,1.25,0.0,1.25,3.7489692458771753,0.5587598204264904,2516.5320407034533,-0.022049555386279552
Electrochemical,Cell 1,2450.0,1.25,0.25,1.5,3.7503497047182037,0.5590277777777742,2136.2335564344794,-0.027272828993214385
Electrochemical,Cell 2,2450.0,1.25,0.0,1.25,3.7441372857155044,0.542454648526079,1744.553468192371,-0.0301015087010886
Electrochemical,Cell 3,2450.0,1.25,-0.25,1.0,3.752105307625143,0.5296926713948016,619.5532800145934,-0.04013649548077371
Electrochemical,Cell 4,2450.0,1.25,0.0,1.25,3.7493164548794105,0.5580583613916981,2477.8734379662988,-0.023058587737212928
Electrochemical,Cell 1,2460.0,1.25,0.25,1.5,3.748689617304916,0.5581944444444409,2181.3223329653115,-0.02638576969216265
Electrochemical,Cell 2,2460.0,1.25,0.0,1.25,3.7434473254091243,0.5417460317460338,1748.9024341322292,-0.030101027561521995
Electrochemical,Cell 3,2460.0,1.25,-0.25,1.0,3.7515780310614675,0.5291016548463382,623.9024486817109,-0.04013823503520773
Electrochemical,Cell 4,2460.0,1.25,0.0,1.25,3.749537525576564,0.5573569023569057,2441.482318241495,-0.02394132450901216
Electrochemical,Cell 1,2470.0,1.25,0.25,1.5,3.747140607017876,0.5573611111111075,2224.0229130480884,-0.025609290371455543
Electrochemical,Cell 2,2470.0,1.25,0.0,1.25,3.742758070272438,0.5410374149659885,1753.1251318745162,-0.030100583449356944
Electrochemical,Cell 3,2470.0,1.25,-0.25,1.0,3.751053347998993,0.5285106382978748,628.1239430574744,-0.04014001169062552
Electrochemical,Cell 4,2470.0,1.25,0.0,1.25,3.7496482185965956,0.5566554433221134,2407.228968267216,-0.024713557323613536
Electrochemical,Cell 1,2480.0,1.25,0.25,1.5,3.7456885502312924,0.5565277777777742,2264.4848571268344,-0.02492957334890296
Electrochemical,Cell 2,2480.0,1.25,0.0,1.25,3.7420692035608267,0.5403287981859431,1757.2481093299211,-0.030100176469250634
Electrochemical,Cell 3,2480.0,1.25,-0.25,1.0,3.7505309048377464,0.5279196217494114,632.2470310509593,-0.040141825664421656
Electrochemical,Cell 4,2480.0,1.25,0.0,1.25,3.7496620467794437,0.555953984287321,2375.0128264061495,-0.025389103924069106
Electrochemical,Cell 1,2490.0,1.25,0.25,1.5,3.744321541782165,0.5556944444444408,2302.8089709354,-0.024334528062725173
Electrochemical,Cell 2,2490.0,1.25,0.0,1.25,3.741381009748339,0.5396201814058978,1761.2522877539232,-0.030099806513628116
Electrochemical,Cell 3,2490.0,1.25,-0.25,1.0,3.7500109807268482,0.527328605200948,636.2515047760542,-0.04014367681707749
Electrochemical,Cell 4,2490.0,1.25,0.0,1.25,3.7495913460958517,0.5552525252525287,2344.6966269010027,-0.025980054693479113
Electrochemical,Cell 1,2500.0,1.25,0.25,1.5,3.743028979390403,0.5548611111111075,2339.107412166982,-0.0238135752999663
Electrochemical,Cell 2,2500.0,1.25,0.0,1.25,3.7406935223551683,0.5389115646258525,1765.137667146566,-0.030099473563702184
