cell,time_s,current_A,voltage_V,soc,capacity_ah,contact_resistance_ohm,negative_gradient_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
Cell 3,920.0,2.5,3.7319906497840005,0.5840661938534282,4.7,0.022,-455.36438781024845,3586.996316186589,0.04885066944389324,-0.006344899502256656,-0.055195568946149895
Cell 3,930.0,2.5,3.73063493008957,0.5825886524822698,4.7,0.022,-455.36438998222366,3592.8564892206705,0.04884253118932684,-0.006345690258180372,-0.055188221447507214
Cell 3,940.0,2.5,3.729279547687002,0.5811111111111114,4.7,0.022,-455.3643918581038,3598.54566324961,0.048834614762480286,-0.0063464978106120866,-0.05518111257309237
Cell 3,950.0,2.5,3.7279244235950126,0.579633569739953,4.7,0.022,-455.3643937514498,3604.0697779664224,0.04882691982641806,-0.00634732215124314,-0.0551742419776612
Cell 3,960.0,2.5,3.726569499558572,0.5781560283687945,4.7,0.022,-455.36439597586286,3609.434773064182,0.048819446053943935,-0.006348163275405796,-0.055167609329349734
Cell 3,970.0,2.5,3.7252147370588187,0.5766784869976362,4.7,0.022,-455.3643988449112,3614.6465882359407,0.048812193127560494,-0.006349021182069504,-0.055161214309629995
Cell 3,980.0,2.5,3.723860133176017,0.5752009456264778,4.7,0.022,-455.36440233182657,3619.709658761458,0.04880516073944937,-0.006349895862602786,-0.05515505660205215
Cell 3,990.0,2.5,3.7225058357186023,0.5737234042553194,4.7,0.022,-455.36440373446385,3624.616595171472,0.04879834859156022,-0.006350787221027036,-0.055149135812587256
Cell 3,1000.0,2.5,3.7211517741338347,0.572245862884161,4.7,0.022,-455.36440510467946,3629.381020086985,0.04879175639514907,-0.006351695320223355,-0.055143451715372424
Cell 3,1010.0,2.5,3.719797990542567,0.5707683215130026,4.7,0.022,-455.36440653302634,3634.0078873874736,0.04878538387113585,-0.006352620162668072,-0.05513800403380392
Cell 3,1020.0,2.5,3.718444541912379,0.5692907801418443,4.7,0.022,-455.36440811006105,3638.5021509525905,0.048779230749953544,-0.006353561753873669,-0.055132792503827216
Cell 3,1030.0,2.5,3.7170914990881623,0.5678132387706859,4.7,0.022,-455.36440992628195,3642.8687646618564,0.048773296771515214,-0.006354520102388288,-0.0551278168739035
Cell 3,1040.0,2.5,3.715738945836777,0.5663356973995275,4.7,0.022,-455.3644120722711,3647.1126823948034,0.048767581685181825,-0.006355495219795799,-0.05512307690497763
Cell 3,1050.0,2.5,3.7143871312784675,0.5648581560283691,4.7,0.022,-455.36441337381257,3651.2249068807614,0.04876208524978788,-0.006356487005688447,-0.055118572255476325
Cell 3,1060.0,2.5,3.713036082061406,0.5633806146572107,4.7,0.022,-455.3644145860526,3655.217723152906,0.04875680723346424,-0.006357495533154481,-0.055114302766618724
