cell,time_s,current_A,voltage_V,soc,negative_average_mol_m3,negative_surface_mol_m3,negative_gradient_mol_m3,positive_average_mol_m3,positive_surface_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
B,1330.0,0.0,3.6842241472881065,0.4333333333333336,13714.396242397172,13713.832283969381,-0.5639584277905669,36676.79592387749,38162.88140326344,1486.085479385947,0.0,0.0,0.0
B,1340.0,0.0,3.684582234257992,0.4333333333333336,13714.332674647221,13713.87101173282,-0.46166291440204077,36700.41395552808,38143.80306949477,1443.3891139666885,0.0,0.0,0.0
B,1350.0,0.0,3.684927810584449,0.4333333333333336,13714.281109006537,13713.901837486355,-0.37927152018164634,36723.52534189517,38125.43776080977,1401.9124189146023,0.0,0.0,0.0
B,1360.0,0.0,3.685261553942678,0.4333333333333336,13714.23977887796,13713.927457411895,-0.3123214660645317,36746.13088920012,38107.7446421606,1361.613752960482,0.0,0.0,0.0
B,1370.0,0.0,3.6855839126351095,0.4333333333333336,13714.206462217451,13713.94797353679,-0.25848868066168507,36768.23322841845,38090.695356689015,1322.462128270563,0.0,0.0,0.0
B,1380.0,0.0,3.685895371746034,0.4333333333333336,13714.178647142917,13713.964323694736,-0.21432344818094862,36789.83572745159,38074.260064567985,1284.4243371163975,0.0,0.0,0.0
B,1390.0,0.0,3.6861964053081433,0.4333333333333336,13714.156718852613,13713.977117972046,-0.17960088056679524,36810.94148761772,38058.40987707531,1247.4683894575937,0.0,0.0,0.0
B,1400.0,0.0,3.686487463070763,0.4333333333333336,13714.140150219066,13713.987072411861,-0.15307780720468145,36831.55463792702,38043.11755242549,1211.5629144984632,0.0,0.0,0.0
B,1410.0,0.0,3.6867689691975407,0.4333333333333336,13714.126215352317,13713.995185236397,-0.13103011591920222,36851.68071290386,38028.357541977675,1176.6768290738182,0.0,0.0,0.0
B,1420.0,0.0,3.6870413399054414,0.4333333333333336,13714.112782613991,13714.002488743961,-0.11029387002963631,36871.325551489295,38014.10501866294,1142.7794671736483,0.0,0.0,0.0
B,1430.0,0.0,3.6873048724854427,0.4333333333333336,13714.103186084478,13714.00784190551,-0.09534417896793457,36890.49407798882,38000.341495671586,1109.8474176827658,0.0,0.0,0.0
B,1440.0,0.0,3.687559956855068,0.4333333333333336,13714.094863673763,13714.0124263695,-0.08243730426329421,36909.19313963435,37987.044043284186,1077.8509036498363,0.0,0.0,0.0
B,1450.0,0.0,3.6878069334748713,0.4333333333333336,13714.087173521344,13714.016663130984,-0.07051039036014117,36927.429427590076,37974.19249583067,1046.7630682405943,0.0,0.0,0.0
B,1460.0,0.0,3.68804611193736,0.4333333333333336,13714.07987014944,13714.020728047431,-0.05914210200899106,36945.20995450845,37961.768486502006,1016.5585319935562,0.0,0.0,0.0
B,1470.0,0.0,3.6882777459496094,0.4333333333333336,13714.073667869929,13714.024202471195,-0.04946539873344591,36962.54206710583,37949.75669506952,987.2146279636872,0.0,0.0,0.0
B,1480.0,0.0,3.6885021305102725,0.4333333333333336,13714.06815810262,13714.027356085044,-0.04080201757642499,36979.433108998,37938.13987456411,958.7067655661158,0.0,0.0,0.0
B,1490.0,0.0,3.6887195253565244,0.4333333333333336,13714.06349730982,13714.030103885398,-0.03339342442268389,36995.89058190724,37926.902742796156,931.0121608889167,0.0,0.0,0.0
B,1500.0,0.0,3.6889301754404773,0.4333333333333336,13714.059477735933,13714.032545583721,-0.026932152211884386,37011.92268640481,37916.03094027841,904.1082538736009,0.0,0.0,0.0
B,1510.0,0.0,3.689134314050026,0.4333333333333336,13714.056014540116,13714.034696326014,-0.021318214101484045,37027.53757452439,37905.510838051094,877.9732635267064,0.0,0.0,0.0
B,1520.0,0.0,3.6893321647911184,0.4333333333333336,13714.053267943731,13714.03641810634,-0.016849837391418987,37042.74310890151,37895.32941999445,852.5863110929422,0.0,0.0,0.0
B,1530.0,0.0,3.6895239419005557,0.4333333333333336,13714.051238147807,13714.037641669356,-0.01359647845129075,37057.54735481166,37885.47427200894,827.9269171972846,0.0,0.0,0.0
B,1540.0,0.0,3.6897098553271244,0.4333333333333336,13714.049757332736,13714.038504320513,-0.011253012222368852,37071.95880042794,37875.93332160167,803.9745211737245,0.0,0.0,0.0
